# cbm-release-selection-v1
# policy=virustotal-v2
# targets=8
# candidates=24
target	selected_variant	selected_path	selected_sha256	selected_size	decision	unstripped_sha256	unstripped_scan_path	unstripped_classification	unstripped_analysis_id	unstripped_virustotal_url	debug_stripped_sha256	debug_stripped_scan_path	debug_stripped_classification	debug_stripped_analysis_id	debug_stripped_virustotal_url	stripped_sha256	stripped_scan_path	stripped_classification	stripped_analysis_id	stripped_virustotal_url
linux-amd64	stripped	selected/linux-amd64/codebase-memory-mcp	cb6dc545a8cb714799461ba7d8c223dbca7d02ca46ea5a4215c1beb450fd8e09	293774768	stripped-preferred	f717008ee53e61bcf2ada1f22a2e59e5912d6721b7cb9af9d521de870cea597d	objects/f717008ee53e61bcf2ada1f22a2e59e5912d6721b7cb9af9d521de870cea597d	clean	ZmYyNmRjNjM5NWRkNTVmNTBhZjQ0YmRjYWNhNThiNmM6MTc4NzA5NzAyMA==	https://www.virustotal.com/gui/file/f717008ee53e61bcf2ada1f22a2e59e5912d6721b7cb9af9d521de870cea597d/detection	3068948dd4adb07ed727cda45b15045990fead5aff041eef8a57f07e62b05085	objects/3068948dd4adb07ed727cda45b15045990fead5aff041eef8a57f07e62b05085	clean	ZDgwNGY1NmI3M2I4NmI3NTA3NDg4NjU5NjY0YWU1ZGY6MTc4NzA5NzI0Ng==	https://www.virustotal.com/gui/file/3068948dd4adb07ed727cda45b15045990fead5aff041eef8a57f07e62b05085/detection	cb6dc545a8cb714799461ba7d8c223dbca7d02ca46ea5a4215c1beb450fd8e09	objects/cb6dc545a8cb714799461ba7d8c223dbca7d02ca46ea5a4215c1beb450fd8e09	clean	MjE0YThmZjMxOWYxODJjMTMwZWU1YzcyNzFhNGY1ZWU6MTc4NzA5NzA5NA==	https://www.virustotal.com/gui/file/cb6dc545a8cb714799461ba7d8c223dbca7d02ca46ea5a4215c1beb450fd8e09/detection
linux-arm64	unstripped	selected/linux-arm64/codebase-memory-mcp	e861b4ae831a24ab69e82bb9c4ca8c70029af55b9a074ef0ed2565a53c0de24c	295480400	unstripped-clean-after-stripped:microsoft-ml-debug-stripped:microsoft-ml	e861b4ae831a24ab69e82bb9c4ca8c70029af55b9a074ef0ed2565a53c0de24c	objects/e861b4ae831a24ab69e82bb9c4ca8c70029af55b9a074ef0ed2565a53c0de24c	clean	YTQ3MTgxN2IzZmRhOTJkYTA4ZTE0YmEwZmEwYTY3YTY6MTc4NzA5NzAzMQ==	https://www.virustotal.com/gui/file/e861b4ae831a24ab69e82bb9c4ca8c70029af55b9a074ef0ed2565a53c0de24c/detection	6147cb77f596ca2324bebc91b709f523bbeea2a89007eecabcfd63394d4a98d8	objects/6147cb77f596ca2324bebc91b709f523bbeea2a89007eecabcfd63394d4a98d8	microsoft-ml	ZmU3M2JkMzliN2RhZWRiMzE3MWExMTMyNmU2ZThlYTE6MTc4NzA5NzIxNA==	https://www.virustotal.com/gui/file/6147cb77f596ca2324bebc91b709f523bbeea2a89007eecabcfd63394d4a98d8/detection	9da833e12fbc7b3158d01f858ad7aac312fbf2956a3f895ae8523a67b2aefd81	objects/9da833e12fbc7b3158d01f858ad7aac312fbf2956a3f895ae8523a67b2aefd81	microsoft-ml	NWE4MWJlYmRhYjhhZGUxZDI1Mjc0ZjFjZjM5MjliZDQ6MTc4NzA5NzE2MQ==	https://www.virustotal.com/gui/file/9da833e12fbc7b3158d01f858ad7aac312fbf2956a3f895ae8523a67b2aefd81/detection
linux-amd64-portable	stripped	selected/linux-amd64-portable/codebase-memory-mcp	1175645cb30560e7e47d78611cd1bcb509478eaf6d4e51f72fe18327ee9c1351	293213352	stripped-preferred	39696cbb5ab8058cdab5d84287eefd8ae3ce85e0dbc5ceb7c801f5804e1a372c	objects/39696cbb5ab8058cdab5d84287eefd8ae3ce85e0dbc5ceb7c801f5804e1a372c	microsoft-ml	YjQyYjMxMWFkYzhjNjMzZjQyYzJiZGFhMDE1NzA1NGM6MTc4NzA5NzIzMQ==	https://www.virustotal.com/gui/file/39696cbb5ab8058cdab5d84287eefd8ae3ce85e0dbc5ceb7c801f5804e1a372c/detection	e3accc0c338d70f65f2ed423e72a6ae96d67ccfdffe5e483f8fd8960ccb8d8cf	objects/e3accc0c338d70f65f2ed423e72a6ae96d67ccfdffe5e483f8fd8960ccb8d8cf	clean	ZWI2OTEyMWQ4MThiNTMxNDg3MDUyMjNiYTY0Y2JlMTA6MTc4NzA5NzAzNQ==	https://www.virustotal.com/gui/file/e3accc0c338d70f65f2ed423e72a6ae96d67ccfdffe5e483f8fd8960ccb8d8cf/detection	1175645cb30560e7e47d78611cd1bcb509478eaf6d4e51f72fe18327ee9c1351	objects/1175645cb30560e7e47d78611cd1bcb509478eaf6d4e51f72fe18327ee9c1351	clean	MDM0M2U0Y2RiNDAwOTNiMGNhMmE1MjkwZWM2YTY2ZDM6MTc4NzA5NzMwNg==	https://www.virustotal.com/gui/file/1175645cb30560e7e47d78611cd1bcb509478eaf6d4e51f72fe18327ee9c1351/detection
linux-arm64-portable	stripped	selected/linux-arm64-portable/codebase-memory-mcp	0bf1b3cf3659f6dcdb01bb6313a93dcbcb53e2cd1a52820f024df7a0cf48f44e	293797736	stripped-preferred	51b089b43449556f831be455601fda8421be1922a57374cdebf18f3de44d9411	objects/51b089b43449556f831be455601fda8421be1922a57374cdebf18f3de44d9411	clean	YmY2NDQxZTIxODJiMzI2ODFiNGJhMjdhODBiZTM2ZWU6MTc4NzA5NzIyNg==	https://www.virustotal.com/gui/file/51b089b43449556f831be455601fda8421be1922a57374cdebf18f3de44d9411/detection	554134e300ff4f65f3d79e5f85a399d613173151ac2ad8fc2552287703aa0b58	objects/554134e300ff4f65f3d79e5f85a399d613173151ac2ad8fc2552287703aa0b58	microsoft-ml	MWY3MDI1NjI5Y2JmNTRmNmI1ZDlhODIyY2RjYWQ1MmM6MTc4NzA5NzIyMA==	https://www.virustotal.com/gui/file/554134e300ff4f65f3d79e5f85a399d613173151ac2ad8fc2552287703aa0b58/detection	0bf1b3cf3659f6dcdb01bb6313a93dcbcb53e2cd1a52820f024df7a0cf48f44e	objects/0bf1b3cf3659f6dcdb01bb6313a93dcbcb53e2cd1a52820f024df7a0cf48f44e	clean	ZDk5ZWNhZGI3YzJhZTY2NTRlMjZkZDU1OWQyYWYzOTc6MTc4NzA5NzMyMA==	https://www.virustotal.com/gui/file/0bf1b3cf3659f6dcdb01bb6313a93dcbcb53e2cd1a52820f024df7a0cf48f44e/detection
darwin-amd64	stripped	selected/darwin-amd64/codebase-memory-mcp	1d5b79257d91973809ee70482781db3d1a78f62fc1cd5d18a5ab0608451d16d4	296064592	stripped-preferred	8ebbd1b469b46c2375e0e2f541aed88a24236e38262246b5637f8163239c9e09	objects/8ebbd1b469b46c2375e0e2f541aed88a24236e38262246b5637f8163239c9e09	clean	YTBhZjdhYzA3Njk0NWZiNGE5MTJhMzExYmY1ZmQwNTQ6MTc4NzA5NzE2Nw==	https://www.virustotal.com/gui/file/8ebbd1b469b46c2375e0e2f541aed88a24236e38262246b5637f8163239c9e09/detection	b9deb1caaf670457d08d413c873a1b35230283c307809a991a26aecec6807e84	objects/b9deb1caaf670457d08d413c873a1b35230283c307809a991a26aecec6807e84	microsoft-ml	M2I0NTViYTlmNDllZGExZWZkZTQ5N2I1Y2IzZmNlMTQ6MTc4NzA5NzE0OA==	https://www.virustotal.com/gui/file/b9deb1caaf670457d08d413c873a1b35230283c307809a991a26aecec6807e84/detection	1d5b79257d91973809ee70482781db3d1a78f62fc1cd5d18a5ab0608451d16d4	objects/1d5b79257d91973809ee70482781db3d1a78f62fc1cd5d18a5ab0608451d16d4	clean	MGEwMTI4MjJmMTk2M2U5MjE0ZTdhZjFkMzE0OGYyNWU6MTc4NzA5NzI5MQ==	https://www.virustotal.com/gui/file/1d5b79257d91973809ee70482781db3d1a78f62fc1cd5d18a5ab0608451d16d4/detection
darwin-arm64	stripped	selected/darwin-arm64/codebase-memory-mcp	2412e017268bef8f847f38d1b0f79f63185b38c27fe6fba637067bfc87c0eedf	297185328	stripped-preferred	260da338a14eb3663388d8e4f1b0fcf17af6703a61c339d3f02e2478059b2cbf	objects/260da338a14eb3663388d8e4f1b0fcf17af6703a61c339d3f02e2478059b2cbf	clean	MTBiNzljOTJmZTkyODY0MjYzMTdiMmIzOWQ1YzYzNDA6MTc4NzA5NzI4MA==	https://www.virustotal.com/gui/file/260da338a14eb3663388d8e4f1b0fcf17af6703a61c339d3f02e2478059b2cbf/detection	c3eb609f92c659a16957a00365481417407a3f9fed60befe7313f378450b4f20	objects/c3eb609f92c659a16957a00365481417407a3f9fed60befe7313f378450b4f20	clean	NTIwZDkwZjkxM2FiMDU2ZTYwZTgxMjRiMDVhOWMwMGI6MTc4NzA5NzEwNg==	https://www.virustotal.com/gui/file/c3eb609f92c659a16957a00365481417407a3f9fed60befe7313f378450b4f20/detection	2412e017268bef8f847f38d1b0f79f63185b38c27fe6fba637067bfc87c0eedf	objects/2412e017268bef8f847f38d1b0f79f63185b38c27fe6fba637067bfc87c0eedf	clean	YzYyZmEyMjVhNDRmMTVjOWM1NDFjNTc1NWU5YWM4ZDc6MTc4NzA5NzI4Ng==	https://www.virustotal.com/gui/file/2412e017268bef8f847f38d1b0f79f63185b38c27fe6fba637067bfc87c0eedf/detection
windows-amd64	stripped	selected/windows-amd64/codebase-memory-mcp.exe	b4b403b1d7c4def3785f148b93f345ce8427858f4f5489ce28580c4387a336a6	296140288	stripped-preferred	d40174441993b64b675607c98a14f7da591ff53f5e27c64bb1f45ca5f77bdb5f	objects/d40174441993b64b675607c98a14f7da591ff53f5e27c64bb1f45ca5f77bdb5f	clean	NTExZjFjMWU1MmY1OWVmMjYwMjkzYmI1NjBjZjg4OTE6MTc4NzA5NzA4OA==	https://www.virustotal.com/gui/file/d40174441993b64b675607c98a14f7da591ff53f5e27c64bb1f45ca5f77bdb5f/detection	cab16153b87621d9badb8037d2dc97891777d05f68c367e108efa387537806fb	objects/cab16153b87621d9badb8037d2dc97891777d05f68c367e108efa387537806fb	clean	NzAzYzM5NmVmZmYzYzA3NGZjOGExYWQ3ZWIyZmMzM2I6MTc4NzA5NzEwMA==	https://www.virustotal.com/gui/file/cab16153b87621d9badb8037d2dc97891777d05f68c367e108efa387537806fb/detection	b4b403b1d7c4def3785f148b93f345ce8427858f4f5489ce28580c4387a336a6	objects/b4b403b1d7c4def3785f148b93f345ce8427858f4f5489ce28580c4387a336a6	clean	YTRhYmIwMzFhNGYwYmEzNTE0ODg4YTVjYjljM2JmZTY6MTc4NzA5NzE1NA==	https://www.virustotal.com/gui/file/b4b403b1d7c4def3785f148b93f345ce8427858f4f5489ce28580c4387a336a6/detection
windows-arm64	stripped	selected/windows-arm64/codebase-memory-mcp.exe	67b0341ee62f07f850d3954e4f387855f90ea8c6c4b7ed41b8a62d61344373a4	296138752	stripped-preferred	eaa37fe4f48837f498dfb2a20060051b19bd7e0d51484b0923817ac304fa8e1e	objects/eaa37fe4f48837f498dfb2a20060051b19bd7e0d51484b0923817ac304fa8e1e	clean	YmZmZTg3ZjZjOGQzZTA3MzEwZjRkMTI5ZTdjZWIxOGU6MTc4NzA5NzAyNQ==	https://www.virustotal.com/gui/file/eaa37fe4f48837f498dfb2a20060051b19bd7e0d51484b0923817ac304fa8e1e/detection	d8cab90041f6977415ebc584ee089d4508740289e99e68a159740fcfe536a2b4	objects/d8cab90041f6977415ebc584ee089d4508740289e99e68a159740fcfe536a2b4	clean	OGI5NzY5MjFmODBlZTBiNWRiYWUwNmNhYTRlZWZhMDk6MTc4NzA5NzA4Mg==	https://www.virustotal.com/gui/file/d8cab90041f6977415ebc584ee089d4508740289e99e68a159740fcfe536a2b4/detection	67b0341ee62f07f850d3954e4f387855f90ea8c6c4b7ed41b8a62d61344373a4	objects/67b0341ee62f07f850d3954e4f387855f90ea8c6c4b7ed41b8a62d61344373a4	clean	NjVkMTcxY2Y3MThlODFjZmVmYWQwYWEyMzgzOWNkYWQ6MTc4NzA5NzE3NA==	https://www.virustotal.com/gui/file/67b0341ee62f07f850d3954e4f387855f90ea8c6c4b7ed41b8a62d61344373a4/detection
